"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"143",1556,1789,750,1498,1655,1377,2806,2521,2055,1538
"144",196,1623,43,233,2329,158,296,217,188,196
"145",356,406,155,3704,558,467,657,2625,287,424
"146",1434,1705,913,652,619,8621,10328,2883,24800,22304
"147",5,3,4,6,1,7,41,19,16,12
"148",342,287,415,192,592,140,442,597,596,840
"149",132,270,94,115,194,222,490,251,1144,222
"150",108,39,74,183,64,100,114,267,134,98
"151",154,106,60,70,187,150,188,339,102,63
"152",1012,76,40,149,23,63,109,93,133,78
"153",67,152,57,185,151,384,312,198,171,122
"154",120,71,33,91,72,181,244,207,139,227
"155",4057,2189,2045,3955,2567,10063,9723,13648,9543,9152
"156",188,126,110,314,108,290,292,244,165,179
"157",3356,1247,331,479,820,1102,3017,5056,3591,1910
"158",322,17,22,21,155,26,97,186,22,20
"159",340,264,215,332,297,561,569,531,502,384
"160",841,2382,1468,367,1978,1188,1604,2222,1298,1649
"161",247,96,106,70,159,1267,579,1089,246,493
"162",31,1,71,8,46,3,43,30,194,29
"163",307,88,195,1055,452,288,148,595,161,596
"164",8,1,1,7,6,38,9,1,22,146
"165",537,435,420,386,502,1554,788,2733,9517,675
"166",13213,5351,3091,2537,5494,1186,17086,13721,8635,6736
"167",3730,4871,573,3932,4972,2740,2890,9235,3284,2779
"168",132,128,3,27,10,6,40,2,47,8
"169",4444,2445,2029,4241,2617,5828,5188,7357,4757,5308
"170",2648,2396,1760,2026,1880,4591,4631,4752,3211,4772
"171",327,266,226,141,389,841,895,1050,622,733
"172",244,262,280,387,250,733,1347,1434,1090,1368
"173",8927,2679,4874,5001,5493,6803,16289,5247,119588,11542
"174",709,1002,619,867,604,1955,1719,2357,1175,1200
"175",1665,1050,590,1128,1483,1924,2350,2314,1963,2843
"176",886,710,246,994,972,1076,744,3437,2401,4893
"177",2414,3340,1185,3488,6065,9449,11129,4932,5824,6024
"178",612,438,344,516,289,904,1205,1599,1496,1429
"179",58,22,6,7,38,29,54,79,37,89
"180",6782,5639,3787,8962,33505,10189,16625,19807,8462,21533
"181",811,493,352,520,581,1087,1396,8458,956,1163
"182",139,231,172,253,110,795,323,624,403,451
"183",3,4,14,2,1,0,4,1,5,11
"184",5,2,2,1,3,8,4,16,7,7
"185",1818,1185,859,1325,1470,2112,1728,2115,1696,1632
"186",75,69,40,133,100,214,176,383,131,106
"187",7,2,3,5,13,20,27,38,13,8
"188",492,444,174,198,165,430,315,449,304,190
"189",2,10,17,23,12,11,33,3,4,27
"190",2683,1901,1322,1773,1940,5717,3999,5849,3441,3623
"191",1856,11293,476,557,1255,2825,1041,3218,1230,999
"192",1531,1279,887,1084,1485,2366,2043,3177,2868,2093
"193",30,13,15,34,36,53,46,40,36,43
"194",48,55,29,61,58,93,57,76,55,61
"195",689,281,691,1037,1218,4113,197,1273,1288,657
"196",118,181,82,118,104,278,203,2107,235,155
"197",2943,3613,1863,2290,1769,13541,8858,9926,13696,10452
"198",12,4,7,9,5,11,8,13,4,5
"199",1012,1342,1061,1290,5576,1431,770,1265,13465,943
"200",100,617,326,152,294,254,288,520,2201,207
"201",58,57,28,60,40,200,148,308,134,229
"202",2,4,0,2,1,6,13,125,13,7
"203",97,79,18,61,54,714,435,237,988,248
"204",357,284,103,561,258,450,562,1065,681,273
"205",7,1,41,5,5,6,2,6,3,40
"206",64,212,78,391,196,373,2805,749,376,352
"207",150,18,44,238,77,1150,52,5283,182,162
"208",19,71,3,20,18,156,48,10,62,29
"209",4278,3327,1975,3552,2040,7419,8115,10770,4744,8695
"210",230,37,60,98,62,408,210,528,161,186
"211",2,5,2,1,2,0,14,4,5,16
"212",178,936,62,64,62,105,150,84,181,135
"213",37,1033,183,793,648,1829,809,1219,133,894
"214",2063,1465,972,1525,1359,2318,2588,2483,1504,2232
"215",15,19,5,10,6,17,22,12,13,7
"216",18,61,423,0,98,177,121,346,60,301
"217",49,430,48,41,44,105,95,100,65,87
"218",594,300,445,201,412,896,737,1267,1203,822
"219",1439,757,1311,1281,1173,1324,145,636,233,2245
"220",1414,1470,816,1451,1086,2892,2933,3715,3055,2359
"221",6436,6219,3041,6563,4943,10007,11224,19659,41007,4849
"222",119,74,29,195,3445,1545,338,464,382,40
"223",178,142,74,127,167,286,305,360,227,151
"224",479,479,253,795,479,531,335,1143,498,543
"225",387,77,168,219,83,384,240,423,224,257
"226",3,0,3,37,5,6,13,17,11,7
"227",5,7,10,3,11,9,3,6,5,7
"228",2033,7899,923,1638,1571,1498,1382,10625,8372,2203
"229",20,28,27,12,116,28,60,93,38,36
"230",1251,934,490,1380,873,1825,1529,2467,1230,1286
"231",118,55,19,53,99,156,214,199,201,284
"232",1802,1591,776,1037,1449,18683,1789,3770,1649,3379
"233",443,1144,553,1881,3431,24371,623,4593,3697,3666
"234",909,631,144,439,4481,571,1332,658,675,801
"235",8,6,4,4,3,10,3,16,7,51
"236",7,7,9,8,3,18,10,56,39,6
"237",20733,30403,13735,24002,26050,66002,35334,60179,54853,52395
"238",2,5,1,5,6,7,6,10,8,6
"239",5,3,1,1,1,11,9,1,3,8
"240",67,102,233,79,62,135,64,112,53,97
"241",23,0,4,24,3,2,72,48,0,18
"242",150,134,77,156,39,128,51,220,58,140
"243",0,0,56,5,613,70,0,0,0,0
"244",566,1324,363,750,685,1970,3703,33469,1167,1548
"245",6,5,4,4,7,11,14,12,12,9
"246",141,32,44,15,112,193,148,269,344,233
"247",80,124,79,1746,1118,304,225,215,220,105
"248",2304,1489,1448,2559,2539,2932,3194,4577,2465,4469
"249",3439,2500,2174,2554,2079,2248,3575,3373,3660,2653
"250",582,430,231,587,718,690,464,1035,780,560
"251",1511,1371,784,1952,3506,2661,2514,3340,1333,2082
"252",186,129,64,724,97,245,240,453,174,386
"253",73,121,44,145,52,184,125,462,176,249
"254",236,104,108,132,82,919,220,373,157,320
"255",827,55,55,58,5,275,177,28,114,294
"256",1,37,19,190,327,40,778,333,207,7
"257",2659,844,276,460,354,1363,2939,1672,4075,970
"258",80,160,88,337,51,616,452,784,487,591
"259",62,44,29,56,61,160,66,86,126,67
"260",101,111,105,219,55,254,372,582,150,358
"261",17201,1182,1876,2022,1991,5284,3527,4051,2324,2112
"262",7,9,12,5,8,16,262,85,13,16
"263",106,95,102,235,160,106,72,178,95,111
"264",4112,2730,1755,3129,4707,5954,7618,7629,5668,5950
"265",712,731,333,961,561,1414,7706,1124,4307,679
"266",15,12,7,9,9,239,39,33,40,19
"267",131,8,108,22,186,33,84,135,1858,83
"268",13884,13912,9539,9050,7855,11211,13690,15900,12762,13702
"269",1132,618,320,613,121,3585,1545,1896,380,2233
"270",609,847,601,8040,5858,1399,1700,1963,1271,755
"271",14800,16777,7398,16626,13000,19222,21771,26737,12225,23764
"272",6107,4149,3974,3181,3777,5170,7502,6383,3250,2037
"273",1654,1174,558,789,848,1583,1360,2098,746,1611
"274",415,460,414,543,660,1614,1761,2097,2769,1823
"275",8670,6711,18645,4181,3820,3285,3764,9989,5886,5567
"276",7964,4555,2332,4135,9669,13108,5211,7838,7235,8556
"277",928,890,507,1288,771,976,914,1122,830,988
"278",1112,511,2199,646,892,1132,1246,1266,1233,757
"279",198,307,70,216,530,241,751,400,811,433
"280",759,664,165,509,697,421,976,1064,861,607
"281",3,8,3,3,51,2,7,3,15,10
"282",565,577,303,690,336,1120,479,1421,570,5544
"283",984,1368,878,1423,894,1578,2739,2445,958,2769
"284",708,494,453,332,322,757,1580,712,1351,973
"285",31,26,6,36,13,37,20,29,30,5
"286",570,1035,576,757,1722,1766,424,3062,971,1160
"287",613,477,116,507,428,535,438,1036,353,375
"288",1523,21,42,136,211,112,12,42,61,93
"289",6,2,4,4,9,19,2,16,5,5
"290",8936,5235,2659,8600,4109,4143,10659,7415,8861,7396
"291",18,115,89,124,28,79,99,105,91,120
"292",194,122,115,202,182,92,597,1365,240,710
"293",3590,1530,1102,2942,2843,2960,1265,24357,1796,2544
"294",1581,1001,469,605,1333,932,812,1400,1417,602
"295",48,18,149,32,38,123,45,218,51,20
"296",635,794,490,463,3982,1400,10383,2018,2650,970
"297",208,99,185,8,303,412,176,190,239,222
"298",40,17,1,22,19,26,8,20,13,1
"299",37,56,41,110,355,337,223,183,318,1605
"300",110,90,95,74,79,180,254,258,72,178
"301",344,247,182,646,483,3448,447,974,983,520
"302",112,203,113,677,2140,673,330,24,1239,39
"303",4327,5020,2265,7163,1288,6393,10865,18035,9380,8200
"304",4,0,1,0,0,5,0,0,14,2
"305",308,138,56,93,71,159,431,500,310,281
"306",42153,5164,2543,5225,5209,11212,8859,11650,9879,9754
"307",68,108,50,53,53,44,104,76,83,85
"308",122,274,69,245,1120,134,282,1819,330,403
"309",210,411,90,205,350,227,570,509,467,253
"310",1,2,2,0,4,3,3,1,4,7
"311",0,1,21,0,6,4,0,11,0,2
"312",71,17,6,2,9,6,47,15,6,33
"313",8,7,7,4,5,8,6,2,1,10
"314",1192,1012,356,930,773,1744,1927,1972,1205,471
"315",8921,9528,3891,11387,8980,22008,145188,21399,15121,20384
"316",998,658,507,1180,1634,6533,4456,7816,4200,5395
"317",688,650,570,485,408,807,6964,802,620,1218
"318",336,275,241,417,159,532,387,572,254,458
"319",355,66,24,47,23,31,74,109,55,112
"320",5,53,2,28,4,4,7,7,11,5
"321",910,972,141,869,719,1444,797,1947,625,1359
"322",577,255,385,656,869,308,1192,695,299,111
"323",20,75,38,39,419,73,79,76,41,37
"324",9,3,3,6,2,1,0,3,0,12
"325",747,796,673,1096,1445,19561,1106,2148,1202,1570
"326",45,81,51,64,1039,54,110,215,104,97
"327",79,58,198,65,343,5428,141,440,60,149
"328",3,1,5,17,4,0,4,22,8,6
"329",5,2,2,5,2,6,6,0,4,1
"330",284,535,255,729,4268,935,843,475,1175,494
"331",57,41,245,110,404,942,1105,107,304,81
"332",503,1315,594,5716,1346,1611,700,4064,3040,2100
"333",4,1,1,1,7,3,2,9,1,3
"334",773,498,640,570,719,1576,1177,1899,1002,1338
"335",13,5,7,10,44,568,20,108,1,0
"336",114,46,63,131,37,342,251,97,218,112
"337",3200,2956,1802,3389,2015,6848,8369,9422,34158,8500
"338",1,0,0,2,21,1380,0,0,0,0
"339",563,568,304,483,531,1089,1376,1922,1132,887
"340",661,132,24,77,88,149,342,334,146,134
"341",55,132,1,90,59,49,438,149,81,142
"342",875,1722,707,1509,1525,2612,1223,1874,1373,1883
"343",10778,984,1907,1596,1693,1018,981,770,483,1024
"344",888,640,371,588,721,1331,1411,1348,1403,1092
"345",661,407,786,1129,352,1984,4628,27578,3067,1321
"346",949,762,232,493,693,685,596,394,398,1092
"347",1,5,0,3,2,13,9,7,10,6
"348",462,199,203,306,270,1082,809,1225,605,389
"349",2024,1562,778,1941,1387,5160,6782,7008,4981,5806
"350",1841,1574,521,515,9258,2429,1716,3703,395,1432
"351",12735,15538,7902,14790,13189,17125,12307,33646,10026,17268
"352",289,244,237,406,217,422,496,519,306,620
"353",11,22,11,5,20,38,50,41,49,41
"354",1655,1189,615,1103,1793,3472,3249,28208,3437,4506
"355",3,24,15,6,5,22,0,7,5,30
"356",52,6,3,62,20,83,123,68,19,2
"357",78,95,58,82,50,141,158,156,80,198
"358",976,144,79,424,1150,2933,1266,103,432,3981
"359",226,298,134,2207,161,419,646,566,554,2348
"360",974,685,371,1041,751,1402,1041,962,1644,571
"361",1,1,2,10,3,14,13,6,11,5
"362",27,80,4,10,23,63,61,21,30,286
"363",2294,61,320,70,48,141,1077,957,232,630
"364",5,5,0,9,8,0,9,6,13,20
"365",2010,2061,790,1774,1243,3158,25336,5326,4798,4448
"366",972,980,1142,770,9635,2482,8146,1069,2838,12063
"367",2549,2298,1816,2408,2502,6047,5672,4470,3786,3928
"368",273,459,1699,1287,83,1597,33,20763,53,3292
"369",173,44,66,34,81,165,143,178,167,169
"370",317,155,193,347,265,785,526,884,842,675
"371",7,13,5,14,8,34,12,21,19,16
"372",29,8,31,36,10,2,27,18,25,31
"373",442,569,312,583,810,483,765,760,645,462
"374",36,1,0,15,2,0,1,0,0,12
"375",11315,10990,5296,8025,5494,198858,28288,34622,26570,26406
"376",5663,311,229,250,1975,605,591,920,891,838
"377",2448,1875,549,1739,1111,2185,2607,3292,2824,3257
"378",1282,469,472,822,832,980,796,495,6048,1261
"379",672,165,306,783,303,516,498,1451,761,902
"380",4038,7575,2447,5592,3904,9105,5400,10485,7459,6842
"381",1651,2108,10626,3172,1267,2454,3743,26381,3390,3430
"382",1366,2072,348,1531,2175,506,482,1935,2763,500
"383",6838,4822,5609,3952,5355,6173,7573,11816,67321,7232
"384",5033,483,415,466,675,1875,1804,2251,1243,3538
"385",30,17,11,9,253,221,47,29,33,24
"386",32,0,1,11,7,3,40,5,9,3
"387",47,5,44,5,19,1514,73,61,38,32
"388",426,49,11295,768,731,1710,1750,2019,887,512
"389",1563,1196,408,973,5245,1621,10221,2315,1985,1613
"390",374,383,143,305,240,410,320,537,352,230
"391",529,636,3724,533,2842,6163,397,475,1003,395
"392",40,112,15,11,50,38,109,37,87,22
"393",6,8,9,13,45,39,14,40,10,17
"394",4143,2663,3076,3823,3518,5573,5320,4759,4571,4132
"395",7,2,0,5,7,14,26,222,9,5
"396",703,1013,3793,747,717,809,889,1199,666,776
"397",1892,743,624,1044,621,1844,16963,1747,936,1376
"398",42,1,0,0,20,43,1,9,1,0
"399",5531,5808,24310,7355,8685,8734,8068,8979,5924,12491
"400",16,90,70,62,91,121,93,87,81,106
"401",254,63,13,177,48,246,171,106,90,321
"402",302,659,278,3595,1561,1297,156,1636,702,136
"403",3,3,0,3,1,5,15,23,30,3
"404",0,0,0,4,1,1,3,26,0,6
"405",148,198,106,152,157,578,542,940,555,508
"406",303,123,130,184,420,422,488,166,417,3934
"407",427,428,183,379,444,1383,2237,2880,1585,1029
"408",31,5,10,2,25,20,4,63,28,18
"409",35,1,0,4,0,4,10,0,3,19
"410",48,122,46,27,62,317,128,257,96,2543
"411",3061,1932,1457,1669,2841,5018,9198,4837,3961,4612
"412",2329,427,603,707,8902,2592,3103,4751,3436,17262
"413",6,27,0,6,4,117,1,10,5,2
"414",7,17,39,28,9,29,11,7,9,23
"415",136,118,290,257,227,353,204,277,164,235
"416",87,134,90,200,66,167,154,351,128,254
"417",3441,3174,3607,3625,4060,12578,8230,7365,7206,8303
"418",1675,1818,617,3169,3999,3960,2178,22484,16682,1648
"419",423,353,271,238,143,120,368,1151,400,212
"420",1307,994,258,2313,764,2207,1351,2908,1351,1875
"421",2146,2494,1862,3599,2614,6631,5796,7539,9781,7700
"422",1547,5252,866,759,1176,1430,2895,2956,1102,1307
"423",37,32,31,47,33,49,66,109,1858,148
"424",1875,1899,1132,1420,1863,3564,1419,2385,2387,2122
"425",1740,1227,942,492,1590,1771,2283,1764,1141,1978
"426",24,16,3,61,122,46,316,85,21,63
"427",32,2,4,7,3,19,6,4,2,4
"428",15,75,20,108,52,59,9,44,30,57
"429",500,802,389,621,570,1483,1174,1054,606,1417
"430",87,22,0,0,40,107,0,31,32,240
"431",806,279,150,916,1077,1636,1271,653,70,1036
"432",687,597,426,500,521,1058,13051,2046,1241,1329
"433",250,168,34,332,221,308,431,511,270,414
"434",789,272,1801,348,246,548,399,958,495,505
"435",8221,25877,2887,5735,4808,9705,6119,9635,8117,7490
"436",21,49,62,30,125,26,35,97,92,34
"437",1250,1697,875,1616,1072,2932,2565,4212,4767,2914
"438",67,51,8,50,93,192,113,180,90,102
"439",370,342,269,147,657,86,304,4392,419,376
"440",20735,21315,13509,15570,21904,35767,35338,28586,23529,24202
"441",626,531,389,434,625,403,588,797,490,619
"442",320,424,2821,183,143,724,295,420,268,607
"443",490,521,152,2195,421,373,1846,760,1087,1069
"444",911,521,419,293,852,1093,4051,775,543,607
"445",1128,902,328,1463,1051,1837,2190,1557,1037,1706
"446",708,496,449,1041,936,2878,2757,3635,2250,2485
"447",639,818,254,672,653,1832,2125,2145,1448,1315
"448",805,451,330,1003,903,4108,4991,3623,3481,4234
"449",3954,3349,1734,2726,3160,10103,7586,9970,5329,42874
"450",7093,5590,34473,11863,922,3912,10714,14786,5582,18987
"451",270,360,313,393,286,838,6259,1559,678,1416
"452",9,5,1,3,7,20,46,33,51,28
"453",9285,7100,5407,9963,4267,18576,19359,25662,10663,14456
"454",627,394,384,554,480,838,690,946,367,520
"455",3,0,1,0,4,18,0,5,11,1
"456",310,197,301,126,375,1265,923,1385,1282,766
"457",12,2,7,2,0,2,0,1,194,3
"458",2025,300,2317,1456,2760,1062,1215,5465,422,357
"459",5,6,4,8,5,7,0,9,0,5
"460",1008,1213,442,459,885,789,992,1022,822,1038
"461",666,852,566,1034,824,1642,1764,2322,2329,696
"462",247,327,135,342,172,218,148,248,182,281
"463",16,1,0,2,9,13,71,13,34,44
"464",704,445,255,30,627,1167,1012,1445,1190,616
"465",0,0,0,3,2,0,1,0,49,0
"466",1,6,271,54,12,113,92,59,283,4
"467",333,311,245,319,250,797,937,1470,616,401
"468",9,25,28,41,48,39,76,72,41,83
"469",2820,3626,1603,2065,1420,59855,4952,7452,5635,6988
"470",1606,1578,667,1837,1327,14927,2921,3381,3140,1551
"471",7,78,4,11,8,24,8,21,13,13
"472",2041,1641,1241,1716,10486,3194,27274,5842,3877,1589
"473",1402,712,766,802,1116,7398,1802,2202,719,1855
"474",985,1448,709,1036,1027,1657,2421,2376,7384,1417
"475",636,623,268,614,396,736,1092,1629,885,1310
"476",9,8,7,12,5,13,17,46,9,16
"477",48,31,25,53,31,149,188,175,138,186
"478",8435,22847,9091,7238,7236,18475,70081,16618,15727,15565
"479",3167,2634,1305,1908,1765,5538,3671,5873,16252,4098
"480",18867,9493,6514,11468,8113,39350,37882,34537,55962,40977
"481",273,2296,853,195,209,296,673,517,343,40
"482",11,5,57,4,3,9,11,29,11,8
"483",803,1380,858,1555,1286,2122,1248,2152,1328,2460
"484",1265,909,449,979,1198,2927,3164,3555,3513,3048
"485",203,923,516,139,329,991,9315,211,141,718
"486",3091,1472,1406,2551,2646,4412,3074,4143,2687,1748
"487",435,227,138,499,239,955,165,1482,708,1098
"488",6,10,5,1,0,16,11,6,1,9
"489",4295,7494,4213,4251,6125,9303,9711,11963,9179,7363
"490",0,15,3,21,7,0,8,6,12,9
"491",92,99,49,120,96,167,137,424,129,120
"492",22,14,3,13,21,90,37,64,35,61
"493",678,177,622,817,607,552,2350,172,1018,865
"494",168,121,377,163,91,250,160,246,160,134
"495",790,231,154,697,887,1374,1020,1398,900,402
"496",14,13,12,37,15,852,128,57,78,72
"497",3163,17812,1910,1823,2689,1751,5183,4361,4758,4212
"498",209,148,88,172,14,249,121,336,202,309
"499",5,38,12,12,26,39,24,47,32,39
"500",1594,766,294,682,168,1685,12941,942,916,751
"501",3139,2524,1623,2408,2375,5064,4932,7206,22143,4881
"502",19,0,4,5,13,32,42,23,7,18
"503",959,944,813,1140,1287,2091,1541,2134,3200,1572
"504",1,23,25,7,5,14,14,17,14,4
"505",107,193,104,217,155,2277,432,303,2041,208
"506",135,73,79,169,106,318,194,350,183,242
"507",31,36,0,0,0,9,0,26,0,0
"508",156,1803,75,288,339,363,102,481,857,234
"509",546,410,222,503,315,793,675,1009,728,657
"510",124,209,91,204,125,401,114,238,343,212
"511",994,796,308,703,1099,1413,995,968,1611,865
"512",95,518,358,447,4133,1,2358,624,563,559
"513",109,253,40,171,85,423,137,113,236,249
"514",10,17,5,4,17,15,18,23,16,13
"515",22,5,108,45,40,98,24,154,358,270
"516",73,32,24,56,4,240,7,311,34,96
"517",607,325,289,2607,327,586,638,880,739,631
"518",11,6,5,66,11,10,3,150,8,6
"519",0,6,2,5,2,2,77,1,9,4
"520",81,77,52,107,92,158,162,207,103,149
"521",963,542,657,695,1096,1259,382,1133,1155,825
"522",385,496,330,549,262,887,7770,1576,736,748
"523",710,1227,336,873,496,1752,2218,1561,1129,4712
"524",8,7,1,78,5,5,13,0,27,14
"525",193,3874,971,11113,536,960,1374,1192,587,1428
"526",2163,1798,607,2249,9949,4817,5799,59234,3406,5454
"527",21,22,7,32,1,147,46,516,2,16
"528",839,1591,579,1242,1354,4867,3973,4615,3482,2593
"529",2716,355,257,419,359,468,249,436,509,386
"530",8102,10773,3194,7685,8835,19814,13660,15667,9559,8204
"531",337,243,136,276,265,313,244,327,284,258
"532",13952,10218,13135,2826,18583,22886,44074,3889,3100,27949
"533",88,133,129,76,75,351,463,163,174,185
